
# Relic enchants:


## AOE_damage_bonus_to_spells:
```
force_rod (godlike)
force_rod_2 (godlike)
force_rod_2_b_BIG_weapons_psyker_AOE_damage_bonus_to_spells (biggodlike)
force_rod_3 (godlike)
force_rod_3_b_BIG_weapons_psyker_AOE_damage_bonus_to_spells (biggodlike)
force_rod_b_BIG_weapons_psyker_AOE_damage_bonus_to_spells (biggodlike)
force_staff (godlike)
force_staff_2 (godlike)
force_staff_2_b_BIG_weapons_psyker_AOE_damage_bonus_to_spells (biggodlike)
force_staff_3 (godlike)
force_staff_3_b_BIG_weapons_psyker_AOE_damage_bonus_to_spells (biggodlike)
force_staff_b_BIG_weapons_psyker_AOE_damage_bonus_to_spells (biggodlike)
force_sword (godlike)
force_sword_2 (godlike)
force_sword_2_b_BIG_weapons_psyker_AOE_damage_bonus_to_spells (biggodlike)
force_sword_3 (godlike)
force_sword_3_b_BIG_weapons_psyker_AOE_damage_bonus_to_spells (biggodlike)
force_sword_b_BIG_weapons_psyker_AOE_damage_bonus_to_spells (biggodlike)
```


## Area_damage_after_10_kills:
```
arc_blade (godlike)
arc_sword (godlike)
autogun (godlike)
autopistol (godlike)
bolt_pistol (godlike)
boltgun (godlike)
exitus_rifle (godlike)
force_rod (godlike)
force_rod_2 (godlike)
force_rod_3 (godlike)
force_staff (godlike)
force_staff_2 (godlike)
force_staff_3 (godlike)
force_sword (godlike)
force_sword_2 (godlike)
force_sword_3 (godlike)
grav_gun (godlike)
grav_pistol (godlike)
grenade_launcher (godlike)
heavy_bolter (godlike)
heavy_flamer (godlike)
inferno_pistol (godlike)
lasgun (godlike)
laspistol (godlike)
longlas_rifle (godlike)
melta_gun (godlike)
multi_melta (godlike)
plasma_cannon (godlike)
plasma_gun (godlike)
plasma_pistol (godlike)
power_hammer (godlike)
shotgun (godlike)
sniper_rifle (godlike)
thunder_hammer (godlike)
```


## Area_damage_when_stunned_enemy_killed:
```
arc_blade (godlike)
arc_sword (godlike)
force_rod (godlike)
force_rod_2 (godlike)
force_rod_3 (godlike)
force_staff (godlike)
force_staff_2 (godlike)
force_staff_3 (godlike)
force_sword (godlike)
force_sword_2 (godlike)
force_sword_3 (godlike)
grenade_launcher (godlike)
power_hammer (godlike)
power_hammer_b_BIG_weapons_crusader_melee_hammer_Area_damage_when_stunned_enemy_killed (biggodlike)
purity_seal_a_Stun_purity (ancient)
thunder_hammer (godlike)
thunder_hammer_b_BIG_weapons_crusader_melee_hammer_Area_damage_when_stunned_enemy_killed (biggodlike)
```


## Area_large_damage_on_deadly_strike:
```
arc_blade (godlike)
arc_blade_a_Dodge_roham_weapon (ancient)
arc_blade_b_BIG_weapons_assassin_Area_large_damage_on_deadly_strike (biggodlike)
arc_sword (godlike)
arc_sword_a_Dodge_roham_weapon (ancient)
arc_sword_b_BIG_weapons_assassin_Area_large_damage_on_deadly_strike (biggodlike)
assassin_power_sword (godlike)
assassin_power_sword_a_Dodge_roham_weapon (ancient)
assassin_power_sword_b_BIG_weapons_assassin_Area_large_damage_on_deadly_strike (biggodlike)
autogun (godlike)
autogun_b_BIG_weapons_crusader_ranged_single_target_Area_large_damage_on_deadly_strike (biggodlike)
autopistol (godlike)
autopistol_b_BIG_weapons_crusader_ranged_single_target_Area_large_damage_on_deadly_strike (biggodlike)
bolt_pistol (godlike)
bolt_pistol_b_BIG_weapons_crusader_ranged_single_target_Area_large_damage_on_deadly_strike (biggodlike)
boltgun (godlike)
boltgun_b_BIG_weapons_crusader_ranged_single_target_Area_large_damage_on_deadly_strike (biggodlike)
carthean_sword (godlike)
carthean_sword_a_Dodge_roham_weapon (ancient)
carthean_sword_b_BIG_weapons_assassin_Area_large_damage_on_deadly_strike (biggodlike)
death_cult_blade (godlike)
death_cult_blade_a_Dodge_roham_weapon (ancient)
death_cult_blade_b_BIG_weapons_assassin_Area_large_damage_on_deadly_strike (biggodlike)
exitus_rifle (godlike)
exitus_rifle_b_BIG_weapons_assassin_Area_large_damage_on_deadly_strike (biggodlike)
force_rod (godlike)
force_staff (godlike)
force_staff_3 (godlike)
force_sword (godlike)
force_sword_2 (godlike)
force_sword_3 (godlike)
grav_gun (godlike)
grav_gun_b_BIG_weapons_crusader_ranged_single_target_Area_large_damage_on_deadly_strike (biggodlike)
grav_pistol (godlike)
grav_pistol_b_BIG_weapons_crusader_ranged_single_target_Area_large_damage_on_deadly_strike (biggodlike)
greatsword (godlike)
heavy_bolter (godlike)
heavy_bolter_b_BIG_weapons_crusader_ranged_single_target_Area_large_damage_on_deadly_strike (biggodlike)
inferno_pistol (godlike)
inferno_pistol_b_BIG_weapons_crusader_ranged_single_target_Area_large_damage_on_deadly_strike (biggodlike)
lasgun (godlike)
lasgun_b_BIG_weapons_crusader_ranged_single_target_Area_large_damage_on_deadly_strike (biggodlike)
laspistol (godlike)
